Character,Rarity,SkillId,Skill Name,Skill Level,SP Cost,Initial SP,Skill Duration,Charging Type,Skill Description,,,,,,
,,,,7,39,18,15,,"Attacks deal {{attack@times}:.0f} hits, with each hit dealing {{attack@atk_scale}:.0%} damage", ,4, ,1.1,,
,,,,8,38,20,15,,"Attacks deal {{attack@times}:.0f} hits, with each hit dealing {{attack@atk_scale}:.0%} damage", ,4, ,1.15,,
,,,,9,37,22,15,,"Attacks deal {{attack@times}:.0f} hits, with each hit dealing {{attack@atk_scale}:.0%} damage", ,4, ,1.2,,
,,,,10,35,25,15,,"Attacks deal {{attack@times}:.0f} hits, with each hit dealing {{attack@atk_scale}:.0%} damage", ,4, ,1.25,,
Exusiai,6,skchr_angel_3,Overload Mode,1,50,20,15,Regen over time,Attacks deal {{attack@times}:.0f} hits. Automatic activation,attack@times,5,,,,
,,,,2,48,20,15,,Attacks deal {{attack@times}:.0f} hits. Automatic activation, ,5,,,,
,,,,3,46,20,15,,Attacks deal {{attack@times}:.0f} hits. Automatic activation, ,5,,,,
,,,,4,44,20,15,,"Attacks deal {{attack@times}:.0f} hits, Slightly reduce attack interval. Automatic activation", ,5,,,,
,,,,5,42,20,15,,"Attacks deal {{attack@times}:.0f} hits, Slightly reduce attack interval. Automatic activation", ,5,,,,
,,,,6,40,20,15,,"Attacks deal {{attack@times}:.0f} hits, Slightly reduce attack interval. Automatic activation", ,5,,,,
,,,,7,38,20,15,,"Attacks deal {{attack@times}:.0f} hits, Reduce attack interval. Automatic activation", ,5,,,,
,,,,8,36,20,15,,"Attacks deal {{attack@times}:.0f} hits, with each dealing {{attack@atk_scale}:.0%} damage. Reduce attack interval. Automatic activation", ,5, ,1.03,,
,,,,9,34,20,15,,"Attacks deal {{attack@times}:.0f} hits, with each dealing {{attack@atk_scale}:.0%} damage. Reduce attack interval. Automatic activation", ,5, ,1.07,,
,,,,10,30,20,15,,"Attacks deal {{attack@times}:.0f} hits, with each dealing {{attack@atk_scale}:.0%} damage. Reduce attack interval by a certain extent. Automatic activation", ,5, ,1.1,,
